API_UWI,WellName,Latitude,Longitude,ENVInterval,LateralLength_FT,SpudDate,CompletionDate,FirstProdDate,First3MonthGas_MCF,First3MonthOil_BBL,First3MonthWater_BBL,First6MonthGas_MCF,First6MonthOil_BBL,First6MonthWater_BBL,First9MonthGas_MCF,First9MonthOil_BBL,First9MonthWater_BBL,First12MonthGas_MCF,First12MonthOil_BBL,First12MonthWater_BBL,CumGas_MCF,CumOil_BBL,CumWater_BBL,Norm. Cum. Water 3mo (bbl),Norm. Cum. Water 6mo (bbl),Norm. Cum. Water 9mo (bbl),Norm. Cum. Water 12mo (bbl),Norm. Cum. Water (bbl),Norm. Cum. Oil 3mo (bbl),Norm. Cum. Gas 3mo (Mcf),Norm. Cum Oil 6mo (bbl),Norm. Cum. Gas 6mo (Mcf),Norm. Cum. Oil 9mo (bbl),Norm. Cum Gas 9mo (Mcf),Norm. Cum Oil 12mo (bbl),Norm. Cum. Gas 12mo (Mcf),Norm. Cum. Oil (bbl),Norm. Cum Gas (Mcf),MonthNumber,ProdDate,MonthlyOil_BBL,MonthlyGas_MCF,MonthlyWater_BBL
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,1,2024-07-01,22719.324913019344,31788.24445309459,49492.05584844335
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,2,2024-08-01,22217.664862006368,31788.24445309459,47245.092516637764
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,3,2024-09-01,21727.081848173973,31788.24445309459,45100.142409539374
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,4,2024-10-01,26861.359435984934,89440.27048559894,48930.1991106385
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,5,2024-11-01,19878.298682374425,75568.85358017293,40331.984241420745
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,6,2024-12-01,15605.223158402026,65145.021516166635,34120.45580714667
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,7,2025-01-01,14332.529033564075,54558.081751642916,31888.8244544648
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,8,2025-02-01,10332.981774405944,50867.0559088477,25362.38555672749
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,9,2025-03-01,7979.0979892273435,47602.499552432724,20904.492596826418
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,10,2025-04-01,7196.001472470297,45116.916783580935,18898.68115411578
