WellName,prod_date,Oil,Gas,Water
TEMPLE FORK 32-20 D 4WB,2024-07-01,0.0,0.0,0.0
TEMPLE FORK 32-20 D 4WB,2024-08-01,23543.728744733773,32439.47007766104,85500.73600324856
TEMPLE FORK 32-20 D 4WB,2024-09-01,47087.457489467546,64878.94015532208,171001.47200649712
TEMPLE FORK 32-20 D 4WB,2024-10-01,70631.18623420132,97318.41023298312,256502.2080097457
TEMPLE FORK 32-20 D 4WB,2024-11-01,83743.97238718848,144478.4528704127,317323.48611745593
TEMPLE FORK 32-20 D 4WB,2024-12-01,96856.75854017564,191638.49550784228,378144.76422516623
TEMPLE FORK 32-20 D 4WB,2025-01-01,109969.5446931628,238798.53814527183,438966.0423328765
TEMPLE FORK 32-20 D 4WB,2025-02-01,117078.82848586368,266800.67001675046,483149.58631541545
TEMPLE FORK 32-20 D 4WB,2025-03-01,124188.11227856454,294802.80188822903,527333.1302979544
TEMPLE FORK 32-20 D 4WB,2025-04-01,131297.39607126542,322804.93375970767,571516.6742804934
TEMPLE FORK 32-20 D 4WB,2025-05-01,134255.87533627736,346499.6700675093,595815.9484290138
TEMPLE FORK 32-20 D 4WB,2025-06-01,137214.3546012893,370194.40637531097,620115.2225775342
TEMPLE FORK 32-20 D 4WB,2025-07-01,140172.83386630123,393889.1426831126,644414.4967260546
TEMPLE FORK 32-20 H 8WB,2024-07-01,0.0,0.0,0.0
TEMPLE FORK 32-20 H 8WB,2024-08-01,34624.974914710016,35372.26570339153,51955.900060204694
TEMPLE FORK 32-20 H 8WB,2024-09-01,69249.94982942003,70744.53140678306,103911.80012040939
TEMPLE FORK 32-20 H 8WB,2024-10-01,103874.92474413004,106116.7971101746,155867.70018061408
TEMPLE FORK 32-20 H 8WB,2024-11-01,136620.5097330925,162905.62913907284,205628.1356612482
TEMPLE FORK 32-20 H 8WB,2024-12-01,169366.094722055,219694.4611679711,255388.57114188233
TEMPLE FORK 32-20 H 8WB,2025-01-01,202111.67971101747,276483.2931968694,305149.0066225165
TEMPLE FORK 32-20 H 8WB,2025-02-01,220828.0654224363,320438.49086895445,334050.77262693155
TEMPLE FORK 32-20 H 8WB,2025-03-01,239544.45113385515,364393.68854103953,362952.53863134654
TEMPLE FORK 32-20 H 8WB,2025-04-01,258260.836845274,408348.8862131246,391854.3046357616
TEMPLE FORK 32-20 H 8WB,2025-05-01,268935.88199879596,450532.56070640177,408598.233995585
TEMPLE FORK 32-20 H 8WB,2025-06-01,279610.92715231795,492716.23519967886,425342.1633554084
TEMPLE FORK 32-20 H 8WB,2025-07-01,290285.9723058399,534899.909692956,442086.0927152318
TEMPLE FORK 32-20 J 12WB,2024-07-01,0.0,0.0,0.0
TEMPLE FORK 32-20 J 12WB,2024-08-01,37223.49713803382,42461.81846957348,42177.995832344175
TEMPLE FORK 32-20 J 12WB,2024-09-01,74446.99427606763,84923.63693914696,84355.99166468835
TEMPLE FORK 32-20 J 12WB,2024-10-01,111670.49141410146,127385.45540872045,126533.98749703252
TEMPLE FORK 32-20 J 12WB,2024-11-01,137655.2979346364,169935.63873282162,156574.60895254675
TEMPLE FORK 32-20 J 12WB,2024-12-01,163640.10445517133,212485.82205692283,186615.230408061
TEMPLE FORK 32-20 J 12WB,2025-01-01,189624.91097570627,255036.005381024,216655.85186357523
TEMPLE FORK 32-20 J 12WB,2025-02-01,205814.4074279233,283160.03270818497,235908.04779615416
TEMPLE FORK 32-20 J 12WB,2025-03-01,222003.90388014034,311284.06003534596,255160.2437287331
TEMPLE FORK 32-20 J 12WB,2025-04-01,238193.40033235736,339408.0873625069,274412.43966131203
TEMPLE FORK 32-20 J 12WB,2025-05-01,247660.57344833954,362544.64403471287,285950.7794571497
TEMPLE FORK 32-20 J 12WB,2025-06-01,257127.74656432171,385681.20070691884,297489.11925298726
TEMPLE FORK 32-20 J 12WB,2025-07-01,266594.9196803039,408817.7573791248,309027.4590488249
TEMPLE FORK 32-20 M 16WB,2024-07-01,0.0,0.0,0.0
TEMPLE FORK 32-20 M 16WB,2024-08-01,24820.59323141252,40150.26786880961,35011.89076179276
TEMPLE FORK 32-20 M 16WB,2024-09-01,49641.18646282504,80300.53573761923,70023.78152358552
TEMPLE FORK 32-20 M 16WB,2024-10-01,74461.77969423756,120450.80360642885,105035.67228537828
TEMPLE FORK 32-20 M 16WB,2024-11-01,86567.88187638835,155731.86985495884,122332.94133019731
TEMPLE FORK 32-20 M 16WB,2024-12-01,98673.98405853914,191012.93610348884,139630.21037501632
TEMPLE FORK 32-20 M 16WB,2025-01-01,110780.08624068993,226294.0023520188,156927.47941983535
TEMPLE FORK 32-20 M 16WB,2025-02-01,119929.43943551548,252056.4484515876,170314.1251796681
TEMPLE FORK 32-20 M 16WB,2025-03-01,129078.79263034105,277818.8945511564,183700.77093950086
TEMPLE FORK 32-20 M 16WB,2025-04-01,138228.1458251666,303581.3406507252,197087.4166993336
TEMPLE FORK 32-20 M 16WB,2025-05-01,147998.95465830393,336540.9643277146,211617.4049392395
TEMPLE FORK 32-20 M 16WB,2025-06-01,157769.76349144126,369500.58800470404,226147.3931791454
TEMPLE FORK 32-20 M 16WB,2025-07-01,167540.5723245786,402460.21168169344,240677.3814190513
TEMPLE FORK 32-20 Q 20WB,2024-07-01,0.0,0.0,0.0
TEMPLE FORK 32-20 Q 20WB,2024-08-01,24354.6001631987,17617.044063647492,22103.73317013464
TEMPLE FORK 32-20 Q 20WB,2024-09-01,48709.2003263974,35234.088127294985,44207.46634026928
TEMPLE FORK 32-20 Q 20WB,2024-10-01,73063.80048959609,52851.13219094247,66311.19951040392
TEMPLE FORK 32-20 Q 20WB,2024-11-01,87087.66829865362,66119.95104039168,79144.73684210527
TEMPLE FORK 32-20 Q 20WB,2024-12-01,101111.53610771116,79388.76988984087,91978.27417380661
TEMPLE FORK 32-20 Q 20WB,2025-01-01,115135.40391676869,92657.58873929008,104811.81150550795
TEMPLE FORK 32-20 Q 20WB,2025-02-01,127658.60873113017,103023.76580987351,116479.7531619747
TEMPLE FORK 32-20 Q 20WB,2025-03-01,140181.81354549166,113389.94288045696,128147.69481844147
TEMPLE FORK 32-20 Q 20WB,2025-04-01,152705.01835985313,123756.1199510404,139815.6364749082
TEMPLE FORK 32-20 Q 20WB,2025-05-01,166480.26315789475,143554.6715626275,152792.73765809875
TEMPLE FORK 32-20 Q 20WB,2025-06-01,180255.5079559364,163353.2231742146,165769.83884128928
TEMPLE FORK 32-20 Q 20WB,2025-07-01,194030.752753978,183151.7747858017,178746.94002447982
TEMPLE FORK 32-20 X 24WB,2024-07-01,0.0,0.0,0.0
TEMPLE FORK 32-20 X 24WB,2024-08-01,24240.188464326395,32009.68209588899,41462.92844568707
TEMPLE FORK 32-20 X 24WB,2024-09-01,48480.37692865279,64019.36419177798,82925.85689137413
TEMPLE FORK 32-20 X 24WB,2024-10-01,72720.56539297919,96029.04628766698,124388.7853370612
TEMPLE FORK 32-20 X 24WB,2024-11-01,87608.47053950501,127475.92420006213,150865.9521590556
TEMPLE FORK 32-20 X 24WB,2024-12-01,102496.37568603085,158922.80211245728,177343.11898104998
TEMPLE FORK 32-20 X 24WB,2025-01-01,117384.28083255667,190369.68002485245,203820.2858030444
TEMPLE FORK 32-20 X 24WB,2025-02-01,135393.7558247903,220185.87553070314,237790.20399710053
TEMPLE FORK 32-20 X 24WB,2025-03-01,153403.23081702393,250002.0710365538,271760.12219115667
TEMPLE FORK 32-20 X 24WB,2025-04-01,171412.70580925755,279818.2665424045,305730.0403852128
TEMPLE FORK 32-20 X 24WB,2025-05-01,185329.29481205344,332072.5898312105,333080.4079942011
TEMPLE FORK 32-20 X 24WB,2025-06-01,199245.88381484934,384326.9131200166,360430.77560318937
TEMPLE FORK 32-20 X 24WB,2025-07-01,213162.47281764523,436581.2364088226,387781.1432121777
