WellName,prod_date,Oil_rate,Gas_rate,Water_rate
TEMPLE FORK 32-20 D 4WB,2024-08-01,23543.728744733773,32439.47007766104,85500.73600324856
TEMPLE FORK 32-20 D 4WB,2024-09-01,23543.728744733773,32439.47007766104,85500.73600324856
TEMPLE FORK 32-20 D 4WB,2024-10-01,23543.728744733773,32439.47007766104,85500.73600324857
TEMPLE FORK 32-20 D 4WB,2024-11-01,13112.786152987159,47160.04263742958,60821.27810771024
TEMPLE FORK 32-20 D 4WB,2024-12-01,13112.786152987159,47160.04263742958,60821.2781077103
TEMPLE FORK 32-20 D 4WB,2025-01-01,13112.786152987159,47160.04263742955,60821.27810771024
TEMPLE FORK 32-20 D 4WB,2025-02-01,7109.28379270088,28002.131871478632,44183.54398253898
TEMPLE FORK 32-20 D 4WB,2025-03-01,7109.283792700866,28002.131871478574,44183.54398253898
TEMPLE FORK 32-20 D 4WB,2025-04-01,7109.28379270088,28002.131871478632,44183.54398253898
TEMPLE FORK 32-20 D 4WB,2025-05-01,2958.4792650119343,23694.73630780162,24299.27414852043
TEMPLE FORK 32-20 D 4WB,2025-06-01,2958.4792650119343,23694.73630780168,24299.274148520315
TEMPLE FORK 32-20 D 4WB,2025-07-01,2958.4792650119343,23694.73630780162,24299.27414852043
TEMPLE FORK 32-20 H 8WB,2024-08-01,34624.974914710016,35372.26570339153,51955.900060204694
TEMPLE FORK 32-20 H 8WB,2024-09-01,34624.974914710016,35372.26570339153,51955.900060204694
TEMPLE FORK 32-20 H 8WB,2024-10-01,34624.97491471001,35372.26570339153,51955.90006020469
TEMPLE FORK 32-20 H 8WB,2024-11-01,32745.584988962466,56788.83202889825,49760.43548063413
TEMPLE FORK 32-20 H 8WB,2024-12-01,32745.58498896248,56788.832028898265,49760.43548063413
TEMPLE FORK 32-20 H 8WB,2025-01-01,32745.58498896248,56788.832028898265,49760.43548063416
TEMPLE FORK 32-20 H 8WB,2025-02-01,18716.385711418843,43955.19767208508,28901.766004415054
TEMPLE FORK 32-20 H 8WB,2025-03-01,18716.385711418843,43955.19767208508,28901.766004414996
TEMPLE FORK 32-20 H 8WB,2025-04-01,18716.385711418843,43955.19767208508,28901.766004415054
TEMPLE FORK 32-20 H 8WB,2025-05-01,10675.045153521962,42183.674493277154,16743.929359823407
TEMPLE FORK 32-20 H 8WB,2025-06-01,10675.04515352199,42183.674493277096,16743.929359823407
