API_UWI,WellName,Latitude,Longitude,ENVInterval,LateralLength_FT,SpudDate,CompletionDate,FirstProdDate,First3MonthGas_MCF,First3MonthOil_BBL,First3MonthWater_BBL,First6MonthGas_MCF,First6MonthOil_BBL,First6MonthWater_BBL,First9MonthGas_MCF,First9MonthOil_BBL,First9MonthWater_BBL,First12MonthGas_MCF,First12MonthOil_BBL,First12MonthWater_BBL,CumGas_MCF,CumOil_BBL,CumWater_BBL,Norm. Cum. Water 3mo (bbl),Norm. Cum. Water 6mo (bbl),Norm. Cum. Water 9mo (bbl),Norm. Cum. Water 12mo (bbl),Norm. Cum. Water (bbl),Norm. Cum. Oil 3mo (bbl),Norm. Cum. Gas 3mo (Mcf),Norm. Cum Oil 6mo (bbl),Norm. Cum. Gas 6mo (Mcf),Norm. Cum. Oil 9mo (bbl),Norm. Cum Gas 9mo (Mcf),Norm. Cum Oil 12mo (bbl),Norm. Cum. Gas 12mo (Mcf),Norm. Cum. Oil (bbl),Norm. Cum Gas (Mcf)
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845,12/22/2023,7/29/2024,7/1/2024,"122,496","85,630","182,190","418,129","165,712","340,675","614,693","207,644","441,066","777,242","228,697","500,562","920,677","242,624","547,562","141,837","265,220","343,376","389,694","426,284","66,664","95,365","129,009","325,519","161,654","478,547","178,044","605,093 ","188,886","716,759"
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838,12/28/2023,8/5/2024,8/1/2024,"192,722","104,421","194,764","276,047","126,779","230,185","499,971","195,391","339,243","751,488","242,994","415,119","891,993","263,466","447,836","151,709","179,300","264,249","323,352","348,836","81,337","150,118","98,753","215,023","152,197","389,446","189,277","585,362 ","205,224","694,807"
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799,1/8/2024,8/3/2024,8/1/2024,"161,085","111,011","238,540","299,053","165,027","339,977","503,983","258,044","515,434","703,537","319,760","632,282","821,100","351,475","692,538","186,374","265,628","402,714","494,009","541,088","86,734","125,857","128,937","233,653","201,613","393,767","249,832","549,681 ","274,611","641,534"
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755,1/2/2024,7/23/2024,7/1/2024,"153,356","95,136","133,661","286,795","141,770","199,330","383,770","177,016","249,175","507,481","214,655","302,558","617,663","237,975","335,753","104,791","156,276","195,355","237,207","263,232","74,587","120,232","111,149","224,849","138,782","300,878","168,291","397,868 ","186,574","484,252"
42-317-45632,TEMPLE FORK 32-20 D 4WB,32.183789,-101.870329,WOLFCAMP B UPPER,13134,12/13/2023,7/11/2024,7/1/2024,"127,818","92,767","174,559","313,638","144,434","272,706","423,972","172,446","326,020","517,334","184,103","348,247","604,219","202,258","382,933","132,906","207,634","248,226","265,149","291,559","70,631","97,318","109,970","238,799","131,297","322,805","140,173","393,889 ","153,996","460,042"
42-317-45661,TEMPLE FORK 32-20 J 12WB,32.184334,-101.868043,WOLFCAMP B UPPER,12637,12/24/2023,7/22/2024,7/1/2024,"160,248","141,509","159,439","319,635","241,142","272,165","424,882","303,870","343,554","511,393","340,848","385,853","587,226","369,894","419,261","126,168","215,372","271,864","305,336","331,773","111,980","126,809","190,822","252,936","240,461","336,221","269,722","404,679 ","292,707","464,688"
42-317-45630,TEMPLE FORK 32-20 B 2WA,32.18377,-101.870406,WOLFCAMP A,13170,12/13/2023,7/29/2024,7/1/2024,"79,325","69,981","70,614","266,938","157,056","169,943","396,515","202,148","222,593","504,336","228,224","253,793","582,726","250,549","281,125","53,617","129,038","169,015","192,705","213,459","53,137","60,232","119,253","202,686","153,491","301,074","173,291","382,943 ","190,242","442,465"
42-317-45634,TEMPLE FORK 32-20 F 6WA,32.183826,-101.870173,WOLFCAMP A,13194,12/10/2023,7/26/2024,7/1/2024,"106,032","102,467","157,758","281,161","175,560","271,165","399,325","208,893","323,029","492,764","227,028","351,330","558,742","241,601","374,131","119,568","205,521","244,830","266,280","283,561","77,662","80,364","133,060","213,098","158,324","302,657","172,069","373,476 ","183,114","423,482"
42-317-45757,TEMPLE FORK 32-20 V 22WA,32.186048,-101.860868,WOLFCAMP A,13066,1/15/2024,7/30/2024,7/1/2024,"119,355","108,697","230,026","214,649","169,051","351,570","286,851","220,457","448,515","422,022","268,413","535,309","540,219","291,871","575,659","176,049","269,072","343,269","409,696","440,578","83,191","91,348","129,382","164,281","168,726","219,540","205,429","322,992 ","223,382","413,454"
42-317-45658,TEMPLE FORK 32-20 I 9JM,32.184262,-101.868354,JO MILL,12530,12/31/2023,7/29/2024,7/1/2024,"43,135","48,235","104,252","126,136","135,595","339,593","201,558","197,575","480,945","353,898","272,559","632,956","459,992","315,347","708,832","83,202","271,024","383,835","505,152","565,708","38,496","34,425","108,216","100,667","157,682","160,860","217,525","282,441 ","251,674","367,113"
42-317-45633,TEMPLE FORK 32-20 E 5JM,32.183845,-101.870095,JO MILL,12985,12/9/2023,8/1/2024,8/1/2024,"38,652","40,672","106,809","72,891","73,609","213,863","185,978","144,938","308,846","326,866","203,759","367,900","396,127","231,644","391,807","82,256","164,700","237,848","283,327","301,738","31,322","29,767","56,688","56,135","111,620","143,225","156,919","251,726 ","178,394","305,065"
42-317-45753,TEMPLE FORK 32-20 Q 18WA,32.185539,-101.862998,WOLFCAMP A,12739,12/29/2023,7/29/2024,7/1/2024,"85,855","83,369","164,057","150,210","131,642","259,245","200,849","175,147","345,416","297,978","223,307","441,070","378,309","251,073","496,405","128,783","203,505","271,148","346,236","389,673","65,444","67,395","103,338","117,913","137,489","157,665","175,294","233,910 ","197,090","296,969"
42-317-45758,TEMPLE FORK 32-20 W 23LS,32.186067,-101.86079,LOWER SPRABERRY,13061,1/13/2024,8/5/2024,8/1/2024,"84,878","86,486","170,770","103,560","109,782","220,555","199,681","193,904","335,908","293,280","248,237","391,864","367,919","271,272","418,684","130,748","168,865","257,184","300,026","320,560","66,217","64,986","84,053","79,289","148,460","152,883","190,060","224,546 ","207,696","281,693"
42-317-45629,TEMPLE FORK 32-20 A 1MS,32.183734,-101.870562,JO MILL,13124,12/16/2023,8/9/2024,8/1/2024,"40,001","50,044","153,040","144,305","119,858","381,653","243,671","162,717","531,188","309,271","187,008","621,668","360,953","202,021","680,749","116,611","290,805","404,746","473,688","518,705","38,132","30,479","91,327","109,955","123,984","185,668","142,493","235,653 ","153,932","275,033"
