WellName,prod_date,Gas_rate,Oil_rate,Water_rate
TEMPLE FORK 32-20 D 4WB,2024-07-01,40565.37244603504,25987.358938905116,91790.16056882267
TEMPLE FORK 32-20 D 4WB,2024-08-01,38913.86722472881,21104.672231932767,81097.55748656216
TEMPLE FORK 32-20 D 4WB,2024-09-01,37329.59840066336,17139.378844323597,71650.53192553327
TEMPLE FORK 32-20 D 4WB,2024-10-01,35809.82863274184,13919.112504612674,63303.9870043254
TEMPLE FORK 32-20 D 4WB,2024-11-01,34351.93202302305,11303.892321642123,55929.72812551765
TEMPLE FORK 32-20 D 4WB,2024-12-01,32953.389579626244,9180.037992863065,49414.49403464244
TEMPLE FORK 32-20 D 4WB,2025-01-01,31611.784864351146,7455.228265848071,43658.21724038845
TEMPLE FORK 32-20 D 4WB,2025-02-01,30324.799817492836,6054.487850606994,38572.487077834005
TEMPLE FORK 32-20 D 4WB,2025-03-01,29090.21075263757,4916.928338877333,34079.19180889653
TEMPLE FORK 32-20 D 4WB,2025-04-01,27905.884514519294,3993.1014622865614,30109.318904016527
TEMPLE FORK 32-20 D 4WB,2025-05-01,26769.774793298133,3242.8496388775347,26601.895078600493
TEMPLE FORK 32-20 D 4WB,2025-06-01,25679.918588892815,2633.5603739821727,23503.049804240793
TEMPLE FORK 32-20 H 8WB,2024-07-01,44708.10755094073,40017.35548798217,60032.78503749891
TEMPLE FORK 32-20 H 8WB,2024-08-01,44708.10755076376,35761.002044609646,53863.367450931226
TEMPLE FORK 32-20 H 8WB,2024-09-01,44708.10755058678,31957.3657889171,48327.965316648086
TEMPLE FORK 32-20 H 8WB,2024-10-01,44708.107550409804,28558.294504518457,43361.42246908035
TEMPLE FORK 32-20 H 8WB,2024-11-01,44708.107550232824,25520.75757413188,38905.278677113434
TEMPLE FORK 32-20 H 8WB,2024-12-01,44708.10755005585,22806.301232538954,34907.081519827254
TEMPLE FORK 32-20 H 8WB,2025-01-01,44708.10754987887,20380.561760302706,31319.7689790272
TEMPLE FORK 32-20 H 8WB,2025-02-01,44708.1075497019,18212.83045550966,28101.115481180128
TEMPLE FORK 32-20 H 8WB,2025-03-01,44708.10754952492,16275.664876286188,25213.234868220563
TEMPLE FORK 32-20 H 8WB,2025-04-01,44708.107549347944,14544.5414326053,22622.134446790875
TEMPLE FORK 32-20 H 8WB,2025-05-01,44708.10754917096,12997.544929362213,20297.31486671389
TEMPLE FORK 32-20 H 8WB,2025-06-01,44708.10754899399,11615.091130482526,18211.411118943615
TEMPLE FORK 32-20 J 12WB,2024-07-01,47123.2468948811,40499.40962892842,45748.71103861657
TEMPLE FORK 32-20 J 12WB,2024-08-01,43960.025581535185,35104.390791430815,39954.8359684955
TEMPLE FORK 32-20 J 12WB,2024-09-01,41009.14042362284,30428.054732858556,34894.7299503557
TEMPLE FORK 32-20 J 12WB,2024-10-01,38256.33802612738,26374.664079111306,30475.464328482412
TEMPLE FORK 32-20 J 12WB,2024-11-01,35688.321775363525,22861.23485030993,26615.879456809977
TEMPLE FORK 32-20 J 12WB,2024-12-01,33292.68761354095,19815.837552029807,23245.094205090194
TEMPLE FORK 32-20 J 12WB,2025-01-01,31057.864124560183,17176.124582050354,20301.20422961515
TEMPLE FORK 32-20 J 12WB,2025-02-01,28973.056641642823,14888.053804614205,17730.14510228546
TEMPLE FORK 32-20 J 12WB,2025-03-01,27028.19510682404,12904.78216027402,15484.699419432243
TEMPLE FORK 32-20 J 12WB,2025-04-01,25213.885430457813,11185.706660498063,13523.629655983896
TEMPLE FORK 32-20 J 12WB,2025-05-01,23521.364115791144,9695.633133574256,11810.920839877223
TEMPLE FORK 32-20 J 12WB,2025-06-01,21942.45592943435,8404.055703770544,10315.119138457148
TEMPLE FORK 32-20 M 16WB,2024-07-01,39750.784388329834,24282.397092434287,33997.560432174614
TEMPLE FORK 32-20 M 16WB,2024-08-01,38260.483512240666,21147.78708917413,29829.185228484257
TEMPLE FORK 32-20 M 16WB,2024-09-01,36826.05566445641,18417.823292593464,26171.88645551029
TEMPLE FORK 32-20 M 16WB,2024-10-01,35445.40610334334,16040.270001150533,22963.002019446343
TEMPLE FORK 32-20 M 16WB,2024-11-01,34116.51862144859,13969.634610039737,20147.552704748876
TEMPLE FORK 32-20 M 16WB,2024-12-01,32837.45260116687,12166.297146121755,17677.300191276157
TEMPLE FORK 32-20 M 16WB,2025-01-01,31606.34018079353,10595.752171023269,15509.920566126002
TEMPLE FORK 32-20 M 16WB,2025-02-01,30421.383526825273,9227.948546820802,13608.27916959032
TEMPLE FORK 32-20 M 16WB,2025-03-01,29280.852208525484,8036.7144312463115,11939.794350846283
TEMPLE FORK 32-20 M 16WB,2025-04-01,28183.08067091995,6999.256500151895,10475.879232332987
TEMPLE FORK 32-20 M 16WB,2025-05-01,27126.465802532726,6095.723815250878,9191.45191831943
TEMPLE FORK 32-20 M 16WB,2025-06-01,26109.46459431038,5308.827992088923,8064.505755853729
TEMPLE FORK 32-20 Q 20WB,2024-07-01,15182.27127456901,22859.345538302183,20623.48066217038
TEMPLE FORK 32-20 Q 20WB,2024-08-01,15113.733756990872,21078.124720151154,19114.617606802574
TEMPLE FORK 32-20 Q 20WB,2024-09-01,15045.505639187697,19435.698234396845,17716.14657289553
TEMPLE FORK 32-20 Q 20WB,2024-10-01,14977.585524432203,17921.251101498736,16419.99101675044
TEMPLE FORK 32-20 Q 20WB,2024-11-01,14909.972022302367,16524.811054874703,15218.665293877106
TEMPLE FORK 32-20 Q 20WB,2024-12-01,14842.663748652969,15237.18287594735,14105.231427397906
TEMPLE FORK 32-20 Q 20WB,2025-01-01,14775.659325587254,14049.887845862795,13073.259039378425
TEMPLE FORK 32-20 Q 20WB,2025-02-01,14708.957381428721,12955.107915186061,12116.78821367759
TEMPLE FORK 32-20 Q 20WB,2025-03-01,14642.556550693047,11945.634223944222,11230.295075840297
TEMPLE FORK 32-20 Q 20WB,2025-04-01,14576.455474060132,11014.819633034143,10408.659891247205
TEMPLE FORK 32-20 Q 20WB,2025-05-01,14510.652798346271,10156.534954425786,9647.137497280037
TEMPLE FORK 32-20 Q 20WB,2025-06-01,14445.147176476454,9365.128591947505,8941.3298987402
TEMPLE FORK 32-20 X 24WB,2024-07-01,34028.3124339143,22689.74130024884,38230.99925869396
TEMPLE FORK 32-20 X 24WB,2024-08-01,34028.31243309474,21513.111592324443,36882.8223453648
TEMPLE FORK 32-20 X 24WB,2024-09-01,34028.31243227518,20397.498775304623,35582.18750587302
TEMPLE FORK 32-20 X 24WB,2024-10-01,34028.31243145562,19339.73867532007,34327.41821782575
TEMPLE FORK 32-20 X 24WB,2024-11-01,34028.31243063606,18336.83120415263,33116.89707966995
TEMPLE FORK 32-20 X 24WB,2024-12-01,34028.3124298165,17385.93185018933,31949.063725856788
TEMPLE FORK 32-20 X 24WB,2025-01-01,34028.31242899694,16484.343610632917,30822.412815525502
TEMPLE FORK 32-20 X 24WB,2025-02-01,34028.312428177385,15629.509342086556,29735.492092114313
TEMPLE FORK 32-20 X 24WB,2025-03-01,34028.31242735782,14819.00450781684,28686.900511397154
TEMPLE FORK 32-20 X 24WB,2025-04-01,34028.312426538265,14050.530301124514,27675.28643553328
TEMPLE FORK 32-20 X 24WB,2025-05-01,34028.3124257187,13321.907125318907,26699.345890801826
TEMPLE FORK 32-20 X 24WB,2025-06-01,34028.312424899144,12631.06841180356,25757.82088677559
